date,US_bonds_11,US_bonds_12,US_bonds_13,US_bonds_14,US_bonds_15,US_bonds_16,US_bonds_17,US_bonds_18,US_bonds_19,US_bonds_20
Jul-78,-0.023118542,-0.016761804,-0.008502306,-0.005363885,-0.001085051,0.003141863,0.004821065,0.007833171,0.010881816,0.02195373
Aug-78,-0.020485285,-0.008874405,9.89E-05,0.005379968,0.009206639,0.013821969,0.017863318,0.020701128,0.018894377,0.028077014
Sep-78,-0.02982921,-0.026034874,-0.021306101,-0.01810189,-0.014332187,-0.011965804,-0.008898228,-0.005651169,-0.001286845,0.012866719
Oct-78,-0.041528613,-0.038731899,-0.034252368,-0.032913268,-0.03201462,-0.029815011,-0.029111842,-0.026894667,-0.023832183,-0.036154915
Nov-78,-0.030842282,-0.014160501,-0.013588509,-0.007053151,-0.002904145,0.000828094,0.001260802,-4.97E-05,0.002080543,0.008752629
Dec-78,-0.039190769,-0.032427859,-0.030611371,-0.028945735,-0.026274306,-0.026656258,-0.025927222,-0.02318978,-0.022035804,-0.002372836
Jan-79,-0.02401218,-0.007305683,-0.002185391,-0.00156052,0.003548175,0.006114846,0.010188356,0.012326108,0.012254319,0.034029967
Feb-79,-0.031251298,-0.025918951,-0.023788762,-0.024866373,-0.023292146,-0.020750608,-0.017925216,-0.016334816,-0.015959898,-0.002076828
Mar-79,-0.026858691,-0.013015363,-0.009257032,-0.007518005,-0.003505133,-0.000693985,0.002309768,0.003324775,0.002977309,0.012015482
Apr-79,-0.02695066,-0.020978572,-0.01911203,-0.017926,-0.01690741,-0.016583127,-0.015979743,-0.014374905,-0.013673098,-0.003623144
May-79,-0.018099441,-0.005644462,-0.00043893,0.002695262,0.004584418,0.00724558,0.01108946,0.014225423,0.013108597,0.015912531
Jun-79,-0.010864434,-0.000455818,0.004071172,0.006505409,0.010153123,0.012610344,0.014985047,0.017226077,0.015337103,0.019733614
Jul-79,-0.026911555,-0.016962795,-0.017105011,-0.014592153,-0.01006808,-0.007102456,-0.003768491,0.000593981,0.005224181,0.009754404
